#	Paperdoll information for Black Gate.
#	Has two sections: one for characters and one for items.
#
#	February 4, 2006 - Derived from gumps/Paperdoll_gump_info.cc
#


%%section characters
#Shp: The NPC's SHAPE number
#fmale: 1 if female, 0 if male
#bsh: Body shape (in paperdol.vga)
#bf: Body frame
#hds: Head shape (in paperdol.vga)
#hf: Head frame
#hh: Head frame when wearing helmet
#ash: Arm shape
#af: Arm frame without weapons or with 1-handed weapons
#a2: Arm frame for two-handed weapons
#as: Arm frame for staves
#cg: For BG only, this is the character's gump when paperdolls are disabled.
#
#Format:
#:Shp/	fmale/		bsh/	bf/		hds/	hf/		hh/		ash/	af/		a2/		as/		cg

#	Avatar Female White
:488/		0/		14/		0/		124/	0/		1/		7/		1/		3/		5/		62
#	Jaana
:490/		1/		13/		0/		185/	0/		1/		7/		0/		2/		4/		63
#	Sentri
:462/		0/		14/		0/		188/	0/		1/		7/		1/		3/		5/		65
#	Julia
:454/		1/		13/		0/		186/	0/		1/		7/		0/		2/		4/		66
#	Katrina
:452/		1/		13/		0/		187/	0/		1/		7/		0/		2/		4/		67
#	Tseramed
:460/		0/		14/		0/		190/	0/		1/		7/		1/		3/		5/		68
#	Spark
:489/		0/		14/		0/		189/	0/		1/		7/		1/		3/		5/		60
#	Female Ghost: Rowena
:299/		1/		13/		0/		4/		0/		1/		7/		0/		2/		4/		66


#	For Pick pocket mode

#	Mage
:154/		0/		14/		0/		125/	0/		1/		7/		1/		3/		5/		65
#	Ferry man
:155/		0/		14/		0/		156/	0/		1/		7/		1/		3/		5/		65
#	flying gargoyle
:226/		0/		14/		0/		156/	0/		1/		7/		1/		3/		5/		65
#	Allanger
:227/		0/		14/		0/		159/	0/		1/		7/		1/		3/		5/		65
#	Papa
:228/		0/		14/		0/		159/	0/		1/		7/		1/		3/		5/		65
#	Mama
:229/		1/		13/		0/		4/		0/		1/		7/		0/		2/		4/		66
#	Paladin
:247/		0/		14/		0/		124/	0/		1/		7/		1/		3/		5/		65
#	Fighter
:259/		0/		14/		0/		158/	0/		1/		7/		1/		3/		5/		65
#	Townsman
:259/		0/		14/		0/		158/	0/		1/		7/		1/		3/		5/		65
#	Blacksmith
:304/		0/		14/		3/		145/	0/		1/		146/	1/		3/		5/		65
#	Ghost
:317/		0/		14/		3/		145/	0/		1/		146/	1/		3/		5/		65
#	Sage
:318/		0/		14/		0/		158/	0/		1/		7/		1/		3/		5/		65
#	Peasant
:319/		0/		14/		0/		158/	0/		1/		7/		1/		3/		5/		65
#	Ghost
:337/		0/		14/		3/		145/	0/		1/		146/	1/		3/		5/		65
#	Liche
:354/		0/		14/		3/		145/	0/		1/		146/	1/		3/		5/		65
#	Kissme
:382/		1/		13/		0/		127/	0/		1/		7/		0/		2/		4/		66
#	Guard
:394/		0/		14/		0/		124/	0/		1/		7/		1/		3/		5/		65
#	Pirate
:401/		0/		14/		0/		126/	0/		1/		7/		1/		3/		5/		65
#	Batlin
:403/		0/		14/		0/		158/	0/		1/		7/		1/		3/		5/		65
#	Mage
:445/		0/		14/		0/		125/	0/		1/		7/		1/		3/		5/		65
#	Mage
:446/		1/		13/		0/		4/		0/		1/		7/		0/		2/		4/		66
#	Sage
:448/		1/		13/		0/		155/	0/		1/		7/		0/		2/		4/		66
#	Beggar
:449/		0/		14/		0/		154/	0/		1/		7/		1/		3/		5/		65
#	Beggar
:450/		0/		14/		0/		154/	0/		1/		7/		1/		3/		5/		65
#	Noble
:451/		0/		14/		0/		157/	0/		1/		130/	1/		3/		5/		65
#	Shopkeeper
:455/		0/		14/		0/		124/	0/		1/		7/		1/		3/		5/		65
#	Noble
:456/		1/		13/		0/		155/	0/		1/		7/		0/		2/		4/		66
#	Gypsy
:457/		0/		14/		1/		128/	2/		3/		130/	1/		3/		5/		65
#	Pirate
:458/		0/		14/		0/		126/	0/		1/		7/		1/		3/		5/		65
#	Wench
:459/		1/		13/		0/		127/	0/		1/		7/		0/		2/		4/		66
#	Ranger
:461/		1/		13/		0/		127/	0/		1/		7/		0/		2/		4/		66
#	Ranger
:463/		1/		13/		1/		4/		2/		3/		130/	0/		2/		4/		66
#	Paladin
:464/		0/		14/		3/		145/	0/		1/		146/	1/		3/		5/		65
#	Lord British
:466/		0/		14/		0/		126/	0/		1/		7/		1/		3/		5/		65
#	Jester	
:467/		0/		14/		0/		158/	0/		1/		7/		1/		3/		5/		65
#	Entertainer
:469/		1/		13/		0/		127/	0/		1/		7/		0/		2/		4/		66
#	Jester	
:471/		0/		14/		0/		158/	0/		1/		7/		1/		3/		5/		65
#	Jester	
:472/		0/		14/		0/		158/	0/		1/		7/		1/		3/		5/		65
#	Batlin
:482/		0/		14/		0/		158/	0/		1/		7/		1/		3/		5/		65
#	Highwayman
:484/		0/		14/		0/		158/	0/		1/		7/		1/		3/		5/		65
#	Hook
:506/		0/		14/		0/		159/	0/		1/		7/		1/		3/		5/		65
#	Liche
:519/		0/		14/		3/		145/	0/		1/		146/	1/		3/		5/		65
#	Skeleton
:528/		0/		14/		3/		145/	0/		1/		146/	1/		3/		5/		65
#	Harpie
:532/		1/		13/		1/		4/		2/		3/		130/	0/		2/		4/		66
#	Guard
:720/		0/		14/		0/		124/	0/		1/		7/		1/		3/		5/		65
#	Stone Harpie
:753/		1/		13/		1/		4/		2/		3/		130/	0/		2/		4/		66
#	Guard
:806/		0/		14/		0/		124/	0/		1/		7/		1/		3/		5/		65
#	Elizabeth
:881/		1/		13/		0/		155/	0/		1/		7/		0/		2/		4/		66
#	Abraham
:882/		0/		14/		0/		124/	0/		1/		7/		1/		3/		5/		65
#	Fellowship Member
:884/		0/		14/		0/		124/	0/		1/		7/		1/		3/		5/		65
#	Fellowship Member
:929/		1/		13/		1/		4/		2/		3/		130/	0/		2/		4/		66
#	Guard
:946/		0/		14/		0/		124/	0/		1/		7/		1/		3/		5/		65
#	Ferry man
:952/		0/		14/		0/		156/	0/		1/		7/		1/		3/		5/		65
#	Barkeep
:957/		0/		14/		0/		126/	0/		1/		7/		1/		3/		5/		65
%%endsection

%%section items
#wshape: The entry's shape number
#wf: Object's frame, or -1 for all frames
#spot: Where it should go. Takes one of the following values:
#		head = 0
#		back = 1
#		belt = 2
#		lhand = 3
#		lfinger = 4
#		legs = 5
#		feet = 6
#		rfinger = 7
#		rhand = 8
#		torso = 9
#		neck = 10
#		ammo = 11
#		back2h_spot = 12		SI (2 Handed weapons, Bedroll, Bodies)
#		shield_spot = 13		SI (Shield behind Backpack)
#		ears_spot = 14			SI
#		cloak_spot = 15			SI
#		hands2_spot = 16		SI (gloves, gauntlets)
#		ucont_spot = 17			SI Usecode Container
#		special_spot = 102		Special:  SI non placeable
#type: Object type. Can be one of the following:
#		Normal = 0
#		Single-handed = 1
#		Two-handed = 2
#		Staff = 3
#		Bow = 4
#		Crossbow = 5,
#		Shield = 6
#		Helm = 7
#		Musket = 8
#gender: 1 if has different frames for male/female, 0 otherwise. The frame numbers
#		 given are for the female paperdolls, and they are increased by 1 for the
#		 male versions.
#shape: The shape number (in paperdol.vga); if -1, Exult uses wshape instead
#frame: The base frame number for the paperdol/quiver without correct missile weapon
#f2: Two handed version/armor arms/quiver with missile weapon
#f3: Staff version/two-handed armor arms/shield hand with missile weapon and ammo
#f4: Staff armor arms
#
#Format:
#:wshape/	wf/	  spot/	  type/	 gender/ shape / frame/		f2/		f3/		f4

#	MISC ITEMS

#	Body
:400/		-1/		3/		1/		0/		135/	0
:400/		-1/		8/		1/		0/		135/	1
:402/		-1/		3/		1/		0/		135/	0
:402/		-1/		8/		1/		0/		135/	1
:414/		-1/		3/		1/		0/		135/	0
:414/		-1/		8/		1/		0/		135/	1
#	Bed roll
:583/		-1/		1/		0/		0/		9/		0
:583/		-1/		12/		0/		0/		9/		1
#	Kidney Belt
:584/		-1/		2/		0/		1/		54/		0
#	Torch
:595/		-1/		3/		1/		0/		113/	0
:595/		-1/		8/		1/		0/		113/	1
:595/		-1/		2/		1/		0/		113/	2
#	Lit Torch
:701/		-1/		3/		1/		0/		63/		0
:701/		-1/		8/		1/		0/		63/		1
#	Spell book
:761/		-1/		3/		1/		0/		15/		0
#	Backpack
:801/		-1/		1/		0/		0/		6/		0
#	Bag (Belt)
:802/		-1/		2/		0/		0/		89/		0
#	Bag (Behind back) **NEEDS ART**
:802/		-1/		1/		0/		0/		-1/		0
#	Barrel (Behind back) **NEEDS ART**
:819/		-1/		1/		0/		0/		-1/		0
#	Sealed Box (Behind back) **NEEDS ART**
:798/		-1/		1/		0/		0/		-1/		0
#	Box (Behind back) **NEEDS ART**
:799/		-1/		1/		0/		0/		-1/		0
#	Locked Chest (Behind back) **NEEDS ART**
:522/		-1/		1/		0/		0/		-1/		0
#	Chest (Behind back) **NEEDS ART**
:800/		-1/		1/		0/		0/		-1/		0
#	Basket (Behind back) **NEEDS ART**
:803/		-1/		1/		0/		0/		-1/		0
#	Crate (Behind back) **NEEDS ART**
:804/		-1/		1/		0/		0/		-1/		0


#	AMULETS and COLLARS

#	Leather Collar
:582/		0/		10/		0/		1/		176/	4
#	Gorget
:586/		0/		10/		0/		1/		176/	0
#	Magic Gorget
:843/		0/		10/		0/		1/		176/	2
#	Ankh
:955/		0/		10/		0/		0/		203/	5
#	Fellowship
:955/		1/		10/		0/		0/		0/		4
#	White Heart
:955/		2/		10/		0/		0/		203/	0
#	Amulet of Protection???
:955/		3/		10/		0/		0/		0/		3
#	Amulet of ???
:955/		4/		10/		0/		0/		0/		3
#	Amulet of ???
:955/		5/		10/		0/		0/		0/		9
#	Amulet of ???
:955/		6/		10/		0/		0/		0/		3
#	Forge Amulet
:955/		7/		10/		0/		0/		203/	1
#	Forge Amulet
:955/		8/		10/		0/		0/		203/	2
#	Forge Amulet
:955/		9/		10/		0/		0/		203/	3
#	Forge Amulet
:955/		10/		10/		0/		0/		203/	4


#	CLOAKS

#	Grey Cloak
:285/		0/		10/		0/		0/		181/	0/		-1
:285/		0/		15/		0/		0/		181/	0/		-1
:285/		0/		102/	0/		1/		181/	1/		-1
#	Green Cloak
:285/		1/		10/		0/		0/		179/	0/		-1
:285/		1/		15/		0/		0/		179/	0/		-1
:285/		1/		102/	0/		1/		179/	1/		-1
#	Cloak
:285/		2/		10/		0/		0/		8/		0/		-1
:285/		2/		15/		0/		0/		8/		0/		-1
:285/		2/		102/	0/		1/		8/		1/		-1


#	ARMOUR

#	Green Top
:249/		0/		9/		6/		1/		180/	0/		2/		4/		6
#	Orange Dress
:249/		1/		9/		6/		1/		196/	0/		2/		4/		6
#	Blue Dress
:249/		2/		9/		6/		1/		170/	0/		2/		4/		6
#	Leather
:569/		-1/		9/		6/		1/		57/		0/		2/		4/		6
#	Scale
:570/		-1/		9/		6/		1/		92/		0/		2/		4/		6
#	Chain
:571/		-1/		9/		6/		1/		22/		0/		2/		4/		6
#	Plate
:573/		-1/		9/		6/		1/		85/		0/		2/		4/		6
#	Magic (shape is different)
:666/		-1/		9/		6/		1/		2/		0/		2/		4/		6
#	Antique (shape is different)
:836/		-1/		9/		6/		1/		1/		0/		2/		4/		6
#	Avatar Costume **NEEDS ART**
:838/		-1/		9/		6/		1/		-1/		0/		2/		4/		6


#	HELMS

#	Magic
:383/		0/		0/		7/		1/		74/		0
#	Hood
:444/		0/		0/		7/		1/		184/	0
#	Hood
:444/		1/		0/		7/		1/		184/	2
#	Chain Coif
:539/		0/		0/		7/		1/		24/		0
#	Great Helm
:541/		0/		0/		7/		1/		30/		0
#	Crested Helm
:542/		0/		0/		7/		1/		31/		0
#	Caddellite Helmet
:638/		0/		0/		7/		1/		171/	0
#	Leather Helm
:1004/		0/		0/		7/		1/		59/		0

#	LEGGINGS

#	Greaves
:353/		-1/		5/		0/		1/		178/	0
#	Leather
:574/		-1/		5/		0/		1/		60/		0
#	Chain
:575/		-1/		5/		0/		1/		26/		0
#	Plate
:576/		-1/		5/		0/		1/		87/		0
#	Magic Leggings
:686/		-1/		5/		0/		1/		72/		0
#	Pants
:738/		0/		5/		0/		1/		197/	2
#	Pants
:738/		1/		5/		0/		1/		197/	2
#	Pants
:738/		2/		5/		0/		1/		197/	4
#	Pants
:738/		3/		5/		0/		1/		197/	0
#	Pants
:738/		4/		5/		0/		1/		197/	4
#	Pants
:738/		5/		5/		0/		1/		197/	0


#	GLOVES

#	Leather
:579/		-1/		4/		0/		0/		47/		0/		1/		2
#	Gauntlets
:580/		-1/		4/		0/		0/		25/		0/		1/		2
#	Magic Gauntlets
:835/		-1/		4/		0/		0/		70/		0/		1/		2


#	RINGS

#	Invisibility Ring
:296/		0/		4/		0/		0/		120/	0/		2/		4
:296/		0/		7/		0/		0/		120/	1/		3/		5
#	Ring of Protection
:297/		0/		4/		0/		0/		198/	0/		2/		4
:297/		0/		7/		0/		0/		198/	1/		3/		5
#	Ring of Regeneration
:298/		0/		4/		0/		0/		122/	0/		2/		4
:298/		0/		7/		0/		0/		122/	1/		3/		5
#	Wedding Ring
:295/		0/		4/		0/		0/		147/	0/		2/		4
:295/		0/		7/		0/		0/		147/	1/		3/		5
#	Ring
:640/		-1/		4/		0/		0/		147/	0/		2/		4
:640/		-1/		7/		0/		0/		147/	1/		3/		5
#	Ethereal Ring
:759/		-1/		4/		0/		0/		148/	0/		2/		4
:759/		-1/		7/		0/		0/		148/	1/		3/		5


#	BOOTS

#	Shoes
:585/		0/		6/		0/		1/		199/	0
#	Leather
:587/		0/		6/		0/		1/		58/		0
#	Magic
:587/		1/		6/		0/		1/		73/		0
#	Swamp
:588/		0/		6/		0/		1/		106/	0


#	SHIELDS

#	Buckler
:543/		-1/		8/		6/		0/		20/		0
:543/		-1/		13/		6/		0/		99/		0
#	Curved Heater
:545/		-1/		8/		6/		0/		34/		0
:545/		-1/		13/		6/		0/		99/		0
#	Wooden
:572/		-1/		8/		6/		0/		117/	0
:572/		-1/		13/		6/		0/		99/		0
#	Spiked
:578/		-1/		8/		6/		0/		104/	0
:578/		-1/		13/		6/		0/		104/	1
#	Kite
:609/		-1/		8/		6/		0/		37/		0
:609/		-1/		13/		6/		0/		99/		0
#	Magic
:663/		-1/		8/		6/		0/		75/		0
:663/		-1/		13/		6/		0/		99/		0


#	WEAPONS 1 H

#	Sling
:474/		-1/		3/		1/		0/		102/	0
:474/		-1/		2/		1/		0/		102/	1
#	Magic Sword
:547/		-1/		3/		1/		0/		76/		0
:547/		-1/		2/		1/		0/		76/		1
#	Lightning Whip
:549/		-1/		3/		1/		0/		62/		0
:549/		-1/		2/		1/		0/		62/		1
#	Magic Boomerang
:550/		-1/		3/		1/		0/		192/	0
:550/		-1/		2/		1/		0/		192/	1
#	Fire Sword
:551/		-1/		3/		1/		0/		41/		0
:551/		-1/		2/		1/		0/		41/		1
#	Magic Axe
:552/		-1/		3/		1/		0/		77/		0
:552/		-1/		2/		1/		0/		77/		1
#	Hawk
:555/		-1/		3/		1/		0/		182/	0
:555/		-1/		12/		1/		1/		182/	1
#	Magebane
:559/		-1/		3/		1/		0/		67/		0
:559/		-1/		2/		1/		0/		67/		1
#	Great Dagger
:561/		-1/		3/		1/		0/		177/	0
:561/		-1/		2/		1/		0/		177/	1
#	Blowgun
:563/		-1/		3/		1/		0/		12/		0
:563/		-1/		2/		1/		0/		12/		1
#	Poisoned Dagger
:564/		-1/		3/		1/		0/		36/		0
:564/		-1/		2/		1/		0/		36/		1
#	Star Bursts
:565/		-1/		3/		1/		0/		200/	0
:565/		-1/		2/		1/		1/		200/	1
#	Sword of Defense
:567/		-1/		3/		1/		0/		110/	0
:567/		-1/		2/		1/		0/		110/	1
#	Club
:590/		-1/		3/		1/		0/		29/		0
:590/		-1/		2/		1/		0/		29/		1
#	Main Gauche
:591/		-1/		3/		1/		0/		193/	0
:591/		-1/		8/		1/		0/		193/	1
:591/		-1/		2/		1/		0/		193/	2
#	Spear
:592/		-1/		3/		1/		0/		103/	0
:592/		-1/		12/		1/		0/		103/	1
#	Throwing Axe
:593/		-1/		3/		1/		0/		201/	0
:593/		-1/		2/		1/		0/		201/	1
#	Dagger
:594/		-1/		3/		1/		0/		35/		0
:594/		-1/		2/		1/		0/		35/		1
#	Morning Star
:596/		-1/		3/		1/		0/		81/		0
:596/		-1/		2/		1/		0/		81/		1
#	Sword
:599/		-1/		3/		1/		0/		107/	0
:599/		-1/		2/		1/		0/		107/	1
#	Glass Sword
:604/		-1/		3/		1/		0/		48/		0
:604/		-1/		2/		1/		0/		48/		1
#	Boomerang
:605/		-1/		3/		1/		0/		16/		0
:605/		-1/		2/		1/		0/		16/		1
#	Decorative Sword
:608/		-1/		3/		1/		0/		109/	0
:608/		-1/		2/		1/		0/		109/	1
#	Cleaver
:614/		-1/		3/		1/		0/		172/	0
:614/		-1/		2/		1/		0/		172/	1
#	Knives
:615/		-1/		3/		1/		0/		191/	0
:615/		-1/		2/		1/		0/		191/	1
#	Whip
:622/		-1/		3/		1/		0/		115/	0
:622/		-1/		2/		1/		0/		115/	1
#	Hammer
:623/		-1/		3/		1/		0/		50/		0
:623/		-1/		2/		1/		0/		50/		1
#	Lightning Wand
:629/		-1/		3/		1/		0/		118/	0
:629/		-1/		2/		1/		0/		118/	1
#	Fire Wand
:630/		-1/		3/		1/		0/		42/		0
:630/		-1/		2/		1/		0/		42/		1
#	Custom sword
:635/		-1/		3/		1/		0/		173/	0
:635/		-1/		2/		1/		0/		173/	1
#	Serpentine Dagger
:636/		-1/		3/		1/		0/		95/		0
:636/		-1/		2/		1/		0/		95/		1
#	Serpentine Sword
:637/		-1/		3/		1/		0/		97/		0
:637/		-1/		2/		1/		0/		97/		1
#	Mace
:659/		-1/		3/		1/		0/		66/		0
:659/		-1/		2/		1/		0/		66/		1
#	Shears 
:698/		-1/		3/		1/		0/		98/		0
:698/		-1/		2/		1/		0/		98/		1
#	Rudyom's Wand
:771/		-1/		3/		1/		0/		134/	0
:771/		-1/		2/		1/		0/		134/	1
#	Magician's Wand
:792/		-1/		3/		1/		0/		78/		0
:792/		-1/		2/		1/		0/		78/		1
#	Tongs
:994/		-1/		3/		1/		0/		112/	0
:994/		-1/		2/		1/		0/		112/	1


#	WEAPONS 2H

#	Hoe of Destruction
:548/		-1/		3/		3/		0/		183/	0
:548/		-1/		12/		3/		0/		183/	1
#	Firedoom Staff
:553/		-1/		3/		3/		0/		43/		0
:553/		-1/		12/		3/		0/		43/		1
#	Juggernaught Hammer
:557/		-1/		3/		2/		0/		53/		0
:557/		-1/		12/		2/		0/		53/		1
#	Death Scythe
:562/		-1/		3/		3/		0/		174/	0
:562/		-1/		12/		3/		0/		174/	1
#	Pitchfork
:589/		-1/		3/		3/		0/		84/		0
:589/		-1/		12/		3/		0/		84/		1
#	Two Handed Hammer
:600/		-1/		3/		2/		0/		51/		0
:600/		-1/		12/		2/		0/		51/		1
#	Two Handed Axe
:601/		-1/		3/		2/		0/		5/		0
:601/		-1/		12/		2/		0/		5/		1
#	Two Handed Sword
:602/		-1/		3/		2/		0/		108/	0
:602/		-1/		12/		2/		0/		108/	1
#	Halberd
:603/		-1/		3/		3/		0/		49/		0
:603/		-1/		12/		3/		0/		49/		1
#	Scythe
:618/		-1/		3/		3/		0/		93/		0
:618/		-1/		12/		3/		0/		93/		1
#	Rake
:620/		-1/		3/		3/		0/		91/		0
:620/		-1/		12/		3/		0/		91/		1
#	Pick
:624/		-1/		3/		2/		0/		83/		0
:624/		-1/		12/		2/		0/		83/		1
#	Shovel
:625/		-1/		3/		3/		0/		100/	0
:625/		-1/		12/		3/		0/		100/	1
#	Hoe
:626/		-1/		3/		3/		0/		52/		0
:626/		-1/		12/		3/		0/		52/		1
#	Fishing Rod
:662/		-1/		3/		3/		0/		44/		0
:662/		-1/		12/		3/		0/		44/		1
#	The Black Sword
:707/		-1/		3/		2/		0/		139/	0
:707/		-1/		12/		2/		0/		139/	1
#	Fallowship Staff
:885/		-1/		3/		3/		0/		175/	0
:885/		-1/		12/		3/		0/		175/	1


#	CROSSBOWS & BOLTS

#	Magic Bolts
:417/		25/		11/		5/		0/		133/	2/		2/		0
:417/		26/		11/		5/		0/		133/	3/		2/		0
:417/		27/		11/		5/		0/		133/	3/		3/		0 
:417/		28/		11/		5/		0/		133/	4/		3/		0
:417/		29/		11/		5/		0/		133/	4/		4/		0
:417/		30/		11/		5/		0/		133/	4/		4/		0
:417/		31/		11/		5/		0/		133/	4/		4/		0
:417/		-1/		11/		5/		0/		133/	2/		1/		0
#	Crossbow
:598/		-1/		3/		5/		0/		32/		0
:598/		-1/		2/		5/		0/		32/		1
#	Triple Crossbow
:647/		-1/		3/		5/		0/		202/	0
:647/		-1/		2/		5/		0/		202/	1
#	Bolts
:723/		25/		11/		5/		0/		132/	2/		2/		0
:723/		26/		11/		5/		0/		132/	3/		2/		0
:723/		27/		11/		5/		0/		132/	3/		3/		0
:723/		28/		11/		5/		0/		132/	4/		3/		0
:723/		29/		11/		5/		0/		132/	4/		4/		0
:723/		30/		11/		5/		0/		132/	4/		4/		0
:723/		31/		11/		5/		0/		132/	4/		4/		0
:723/		-1/		11/		5/		0/		132/	2/		1/		0
#	Triple Crossbow Bolts
:948/		25/		11/		5/		0/		132/	2/		2/		0
:948/		26/		11/		5/		0/		132/	3/		2/		0
:948/		27/		11/		5/		0/		132/	3/		3/		0
:948/		28/		11/		5/		0/		132/	4/		3/		0
:948/		29/		11/		5/		0/		132/	4/		4/		0
:948/		30/		11/		5/		0/		132/	4/		4/		0
:948/		31/		11/		5/		0/		132/	4/		4/		0
:948/		-1/		11/		5/		0/		132/	2/		1/		0


#	BOWS & ARROWS

#	Burst Arrows
:554/		25/		11/		4/		0/		21/		2/		2/		0
:554/		26/		11/		4/		0/		21/		3/		2/		0
:554/		27/		11/		4/		0/		21/		3/		3/		0
:554/		28/		11/		4/		0/		21/		4/		3/		0
:554/		29/		11/		4/		0/		21/		4/		4/		0
:554/		30/		11/		4/		0/		21/		4/		4/		0
:554/		31/		11/		4/		0/		21/		4/		4/		0
:554/		-1/		11/		4/		0/		21/		2/		1/		0
#	Magic Arrows
:556/		25/		11/		4/		0/		68/		2/		2/		0
:556/		26/		11/		4/		0/		68/		3/		2/		0
:556/		27/		11/		4/		0/		68/		3/		3/		0
:556/		28/		11/		4/		0/		68/		4/		3/		0
:556/		29/		11/		4/		0/		68/		4/		4/		0
:556/		30/		11/		4/		0/		68/		4/		4/		0
:556/		31/		11/		4/		0/		68/		4/		4/		0
:556/		-1/		11/		4/		0/		68/		2/		1/		0
#	Lucky Arrows
:558/		25/		11/		4/		0/		65/		2/		2/		0
:558/		26/		11/		4/		0/		65/		3/		2/		0
:558/		27/		11/		4/		0/		65/		3/		3/		0
:558/		28/		11/		4/		0/		65/		4/		3/		0
:558/		29/		11/		4/		0/		65/		4/		4/		0
:558/		30/		11/		4/		0/		65/		4/		4/		0
:558/		31/		11/		4/		0/		65/		4/		4/		0
:558/		-1/		11/		4/		0/		65/		2/		1/		0
#	Love Arrows **NEEDS ART** ??? Is Currently Serpent Arrows
:560/		25/		11/		4/		0/		64/		2/		2/		0
:560/		26/		11/		4/		0/		64/		3/		2/		0
:560/		27/		11/		4/		0/		64/		3/		3/		0
:560/		28/		11/		4/		0/		64/		4/		3/		0
:560/		29/		11/		4/		0/		64/		4/		4/		0
:560/		30/		11/		4/		0/		64/		4/		4/		0
:560/		31/		11/		4/		0/		64/		4/		4/		0
:560/		-1/		11/		4/		0/		64/		2/		1/		0
#	Sleep (Tseramed) Arrows
:568/		25/		11/		4/		0/		101/	2/		2/		0
:568/		26/		11/		4/		0/		101/	3/		2/		0
:568/		27/		11/		4/		0/		101/	3/		3/		0
:568/		28/		11/		4/		0/		101/	4/		3/		0
:568/		29/		11/		4/		0/		101/	4/		4/		0
:568/		30/		11/		4/		0/		101/	4/		4/		0
:568/		31/		11/		4/		0/		101/	4/		4/		0
:568/		-1/		11/		4/		0/		101/	2/		1/		0
#	Bow
:597/		-1/		3/		4/		0/		17/		0
:597/		-1/		12/		4/		0/		17/		1
#	Magic Bow
:606/		-1/		3/		4/		0/		69/		0
:606/		-1/		12/		4/		0/		69/		1
#	Arrows
:722/		25/		11/		4/		0/		3/		2/		2/		0
:722/		26/		11/		4/		0/		3/		3/		2/		0
:722/		27/		11/		4/		0/		3/		3/		3/		0
:722/		28/		11/		4/		0/		3/		4/		3/		0
:722/		29/		11/		4/		0/		3/		4/		4/		0
:722/		30/		11/		4/		0/		3/		4/		4/		0
:722/		31/		11/		4/		0/		3/		4/		4/		0
:722/		-1/		11/		4/		0/		3/		2/		1/		0


#	Musket
:278/		-1/		3/		8/		0/		194/	0
:278/		-1/		12/		8/		0/		194/	1
#	Ammunition
:581/		-1/		11/		8/		0/		195/	0/		1/		1
%%endsection
